,Places.to.Visit,State.or.Union.Terr,Ideal.Time.to.Visit,Ideal.Duration.of.Visit,Average.Cost.per.Trip,Average.Stay.per.Trip.in.Days,Average.Cost.of.Stay.per.Day,Number.of.Attractions,Rating.out.of.5,Legal.age.of.drinking
1,Leh Ladakh,Union Territory,"6,7,8,9","5,6,7",25907.4,6.8,3809.911765,70,4.6,18
2,Srinagar,Jammu & Kashmir,"4,5,6,7,8,9,10","3,4,5",22470,5,4494,51,4.5,18
3,Manali,Himachal Pradesh,"10,11,12,1,2,3,4,5,6","2,3,4",14884.4,3.8,3916.947368,51,4.5,18
4,Coorg,Karnataka,"10,11,12,1,2,3","2,3",10989.8,4.2,2616.619048,35,4.2,21
5,Andaman,Union Territory,"10,11,12,1,2,3,4,5,6","4,5,6",30999.8,6,5166.633333,82,4.5,21
6,Udaipur,Rajasthan,"10,11,12,1,2,3","2,3",14909.8,3.6,4141.611111,43,4.4,18
7,Gangtok,Sikkim,"1,2,3,4,5,6,7,8,9,10,11,12","2,3,4",21294,4.8,4436.25,33,4.4,18
8,Munnar,Kerala,"9,10,11,12,1,2,3,4,5","2,3",18760,4.2,4466.666667,50,4.5,23
9,Goa,India,"10,11,12,1,2,3","3,4,5,6,7",9119.8,3,3039.933333,197,4.5,18
10,Kodaikanal,Tamil Nadu,"9,10,11,12,1,2,3,4,5","1,2",11921.6,4.2,2838.47619,35,4.4,21
11,Ooty,Tamil Nadu,"1,2,3,4,5,6,7,8,9,10,11,12","2,3",10360,3.6,2877.777778,43,4.3,21
12,Alleppey,Kerala,"6,7,8,9,10,11,12,1,2,3","1,2",17559.8,4.2,4180.904762,37,4.5,23
13,Lonavala,Maharashtra,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",29508,4.2,7025.714286,41,4.1,25
14,Lakshadweep,Union Territory,"9,10,11,12,1,2,3,4,5","4,5,6",27450,4,6862.5,15,3.8,
15,Varanasi,Uttar Pradesh,"10,11,12,1,2,3","2,3",12580,3.4,3700,38,4.5,21
16,Jaipur,Rajasthan,"10,11,12,1,2,3","2,3",17074.6,4.6,3711.869565,67,4.4,18
17,Rishikesh,Uttarakhand,"1,2,3,4,5,6,7,8,9,10,11,12","2,3",9649.6,2.8,3446.285714,53,4.3,21
18,Mcleodganj,Himachal Pradesh,"10,11,12,1,2,3,4,5,6","2,3",15860,4,3965,42,4.4,18
19,Darjeeling,West Bengal,"2,3,9,10,11,12","2,3",17598.2,4.2,4190.047619,23,4.3,21
20,Nainital,Uttarakhand,"1,2,3,4,5,6,7,8,9,10,11,12","2,3",14931.4,4.2,3555.095238,33,4.3,21
21,Varkala,Kerala,"1,2,3,4,5,6,7,8,9,10,11,12","1,2",19620,5.6,3503.571429,25,4.5,23
22,Shimla,Himachal Pradesh,"10,11,12,1,2,3,4,5,6","2,3,4",20070,5.2,3859.615385,64,4.3,18
23,Mussoorie,Uttarakhand,"9,10,11,12,1,2,3,4,5,6","2,3",16671.2,4.6,3624.173913,36,4.1,21
